gcc -c archivo.c -o archivo.o 
gcc -c ciudades.c -o ciudades.o 
gcc -c main.c -o main.o 
gcc -o main archivo.o ciudades.o main.o -lm
./main
37445,C,33049
33049,B,34291
34291,D,37913
37913,B,40342
40342,A,8067
8067,D,16835
16835,C,38537
38537,D,14578
14578,B,986
986,A,11782
11782,B,14946
14946,B,20262
20262,D,449
449,B,39683
39683,D,6629
6629,C,2433
2433,C,19196
19196,B,36389
36389,A,3550
3550,A,35376
35376,A,5101
5101,C,34776
34776,B,25484
25484,A,34637
34637,C,10352
10352,A,14694
14694,D,19829
19829,A,26810
26810,C,15254
15254,C,14956
14956,A,23248
23248,B,7301
7301,A,8244
8244,D,20155
20155,C,6636
6636,A,16023
16023,D,36694
36694,A,4167
4167,D,30305
30305,A,37391
37391,A,15653
15653,A,4262
4262,B,16659
16659,D,15812
15812,C,2938
2938,B,22991
22991,C,17949
17949,A,21827
21827,C,18374
18374,C,21200
21200,A,16198
16198,D,23173
23173,A,14972
14972,C,686
686,D,16806
16806,C,25014
25014,C,15066
15066,C,36316
36316,D,10826
10826,B,30002
30002,B,10282
10282,D,33748
33748,C,36987
36987,B,18210
18210,C,12909
12909,A,2639
2639,B,33908
33908,B,8598
8598,A,6488
6488,B,23211
23211,B,4984
4984,B,21812
21812,B,27150
27150,D,21311
21311,A,37290
37290,D,29763
29763,A,3307
3307,C,14247
14247,A,10595
10595,C,21341
21341,A,35103
35103,A,26453
26453,B,3519
3519,A,9085
9085,C,26806
26806,A,19980
19980,D,33747
33747,B,883
883,D,15290
15290,C,3586
3586,C,30526
30526,A,25226
25226,B,36970
36970,A,26506
26506,B,2445
2445,D,8891
8891,A,28799
28799,C,35983
35983,B,17137
17137,A,34935
34935,D,18198
18198,C,21770
21770,B,15753
15753,B,4350
4350,B,2087
2087,C,12037
12037,A,33738
33738,B,5038
5038,A,25918
25918,A,3346
3346,A,26006
26006,B,20017
20017,B,29420
29420,B,29161
29161,B,28734
28734,D,15228
15228,C,8148
8148,A,21477
21477,A,15745
15745,B,23061
23061,C,24693
24693,C,5271
5271,B,7290
7290,D,20657
20657,C,31387
31387,C,9361
9361,D,29167
29167,C,19185
19185,A,4340
4340,A,5314
5314,D,13117
13117,A,22147
22147,C,26688
26688,A,28477
28477,B,26112
26112,A,28390
28390,C,40121
40121,B,18846
18846,B,33038
33038,D,25040
25040,C,21802
21802,B,18045
18045,A,4064
4064,D,10222
10222,D,6207
6207,B,32384
32384,C,25045
25045,B,13955
13955,C,12867
12867,D,40381
40381,C,36601
36601,A,37142
37142,B,4669
4669,D,2907
2907,A,335
335,A,35630
35630,B,11858
11858,D,4974
4974,C,13822
13822,B,15789
15789,D,9877
9877,B,26521
26521,B,37510
37510,B,36135
36135,C,13999
13999,C,22623
22623,B,23526
23526,A,13113
13113,A,478
478,D,15560
15560,D,37717
37717,C,21846
21846,A,33173
33173,D,799
799,B,31638
31638,D,38951
38951,B,32737
32737,D,15687
15687,A,11917
11917,D,4616
4616,C,15060
15060,C,7513
7513,D,754
754,A,19296
19296,B,9986
9986,D,17116
17116,A,13921
13921,C,21401
21401,C,21650
21650,C,27297
27297,A,36741
36741,B,31081
31081,A,12820
12820,B,33244
33244,D,26211
26211,C,26366
26366,A,14872
14872,A,8740
8740,C,39022
39022,A,14903
14903,D,23842
23842,C,35732
35732,C,36283
36283,A,16012
16012,B,36078
36078,D,26919
26919,D,13957
13957,C,27811
27811,C,1615
1615,A,25409
25409,B,31965
31965,B,16207
16207,C,32456
32456,B,32257
32257,B,35026
35026,A,1456
1456,A,8382
8382,B,7958
7958,C,22377
22377,D,29550
29550,D,34767
34767,C,18112
18112,A,19629
19629,D,6599
6599,A,10354
10354,D,4843
4843,B,32472
32472,A,24740
24740,A,13102
13102,A,30487
30487,A,39154
39154,D,36448
36448,C,25213
25213,C,34430
34430,D,11470
11470,D,20286
20286,B,20350
20350,D,24932
24932,C,7099
7099,D,21478
21478,D,9343
9343,D,38552
38552,A,37182
37182,B,798
798,A,29806
29806,B,31203
31203,B,1760
1760,B,37686
37686,C,38659
38659,A,23625
23625,A,26234
26234,C,32421
32421,C,746
746,A,4871
4871,B,38513
38513,C,10591
10591,A,9207
9207,D,29982
29982,C,34808
34808,A,21793
21793,D,19467
19467,C,32953
32953,D,17236
17236,B,3684
3684,A,26379
26379,D,28184
28184,A,23442
23442,B,5736
5736,C,12119
12119,C,30018
30018,B,26681
26681,B,20938
20938,C,27562
27562,B,22857
22857,C,21213
21213,C,16368
16368,D,13059
13059,A,22448
22448,D,13048
13048,B,10712
10712,A,5077
5077,D,38734
38734,D,2132
2132,C,5293
5293,A,2623
2623,B,40084
40084,B,15343
15343,A,11290
11290,A,29064
29064,D,9147
9147,A,32530
32530,D,7538
7538,C,1099
1099,D,8775
8775,A,10679
10679,C,26917
26917,C,36395
36395,A,33558
33558,A,32102
32102,A,7526
7526,D,22576
22576,B,17785
17785,B,27900
27900,B,9140
9140,C,40073
40073,A,8119
8119,D,24943
24943,B,12143
12143,A,29995
29995,D,37424
37424,D,22290
22290,A,34509
34509,C,35150
35150,C,23859
23859,C,39235
39235,C,37208
37208,D,22934
22934,D,13588
13588,C,7511
7511,D,10999
10999,D,22162
22162,C,39448
39448,C,17962
17962,B,22689
22689,C,7237
7237,C,28060
28060,D,8608
8608,A,2628
2628,D,20616
20616,D,40109
40109,B,9572
9572,C,2197
2197,A,16902
16902,C,36870
36870,D,10749
10749,D,15967
15967,C,4005
4005,C,35089
35089,A,27515
27515,C,33391
33391,B,31506
31506,D,128
128,C,26895
26895,A,25651
25651,C,32061
32061,B,25123
25123,C,21852
21852,B,14000
14000,A,38105
38105,B,28760
28760,B,24393
24393,D,19272
19272,D,27200
27200,D,1364
1364,A,966
966,B,33829
33829,C,28800
28800,A,8964
8964,C,35848
35848,B,8422
8422,D,285
285,D,4434
4434,D,10009
10009,A,24346
24346,B,40666
40666,C,20138
20138,D,193
193,A,3689
3689,A,14223
14223,D,26203
26203,C,36438
36438,C,4727
4727,D,34387
34387,B,22335
22335,C,29738
29738,B,25445
25445,C,6461
6461,A,359
359,C,38808
38808,C,3561
3561,B,38707
38707,D,22203
22203,C,22190
22190,B,24908
24908,D,597
597,C,22523
22523,C,17733
17733,B,10735
10735,C,30845
30845,A,12576
12576,C,18514
18514,C,38266
38266,D,556
556,B,27875
27875,C,21615
21615,B,16026
16026,D,7019
7019,B,20294
20294,B,19067
19067,D,20586
20586,A,5500
5500,D,14500
14500,B,24660
24660,D,39212
39212,A,36167
36167,D,13398
13398,A,23658
23658,C,1645
1645,A,23330
23330,D,21459
21459,B,4547
4547,B,21030
21030,C,2668
2668,D,26061
26061,C,4941
4941,B,24923
24923,B,7589
7589,B,21997
21997,C,34984
34984,A,37745
37745,B,33896
33896,A,12506
12506,C,35003
35003,B,9274
9274,B,39688
39688,A,15623
15623,C,24615
24615,A,5724
5724,B,35226
35226,D,2690
